D2WL32-3	locus:2092349	AT3G20440
D7SFH9-1	locus:2019708	AT1G66980
E3VNM4-2	locus:1005716824	AT5G06839
E3VNM4-1	locus:1005716824	AT5G06839
E5KGE0-1	locus:2060045	AT2G42160
F2Y4A3	locus:6530298214	AT4G21534
F2Y4A3	locus:6530298214	AT4G21534
F4HPR5	locus:2037026	AT1G53140
F4HPZ9	locus:2033374	AT1G66730
F4HQ84	locus:2206890	AT1G73430
F4HQ84	locus:2206890	AT1G73430
F4HQA1	locus:2017879	AT1G79730
F4HQE2	locus:2016209	AT1G79950
F4HQG6	locus:2200960	AT1G01040
F4HQM3-1	locus:2025042	AT1G07380
F4HRI2	locus:2024917	AT1G53490
F4HRJ4-1	locus:2024832	AT1G53570
F4HRJ4-3	locus:2024832	AT1G53570
F4HRJ4-3	locus:2024832	AT1G53570
F4HRJ4-2	locus:2024832	AT1G53570
F4HRJ4-4	locus:2024832	AT1G53570
F4HRT5	locus:2019529	AT1G67230
F4HRV8	locus:2019569	AT1G67370
F4HS99	locus:2035327	AT1G01320
F4HT77	locus:2203776	AT1G47370
F4HTH8-1	locus:2008495	AT1G61210
F4HTH8-2	locus:2008495	AT1G61210
F4HTH8-3	locus:2008495	AT1G61210
F4HTM3-1	locus:2008778	AT1G67490
F4HTM3-2	locus:2008778	AT1G67490
F4HU51	locus:2198205	AT1G01710
F4HU55	locus:2198160	AT1G01740
F4HU55	locus:2198160	AT1G01740
F4HU58	locus:2198185	AT1G01760
F4HU58	locus:2198185	AT1G01760
F4HVG8-1	locus:2008525	AT1G67840
F4HVG8-2	locus:2008525	AT1G67840
F4HVJ3	locus:2200181	AT1G67960
F4HVS0-1	locus:2027176	AT1G74770
F4HVW5	locus:2205625	AT1G02120
F4HVY0-3	locus:2827068	AT1G02205
F4HVY0-1	locus:2827068	AT1G02205
F4HVY0-2	locus:2827068	AT1G02205
F4HW04	locus:2199973	AT1G08260
F4HW51-2	locus:2025560	AT1G08600
F4HW51-1	locus:2025560	AT1G08600
F4HW51-1	locus:2025560	AT1G08600
F4HW51-1	locus:2025560	AT1G08600
F4HWY6	locus:2199449	AT1G54560
F4HXL0	locus:2196045	AT1G02660
F4HXP9	locus:2025535	AT1G08730
F4HXU3-1	locus:2006782	AT1G14760
F4HXU3-2	locus:2006782	AT1G14760
F4HXU3-3	locus:2006782	AT1G14760
F4HXY7-1	locus:2037788	AT1G15110
F4HXY7-1	locus:2037788	AT1G15110
F4HXY7-1	locus:2037788	AT1G15110
F4HXZ1	locus:2037693	AT1G15130
F4HY56	locus:2032505	AT1G28420
F4HYF3-1	locus:2007725	AT1G48420
F4HYF3-1	locus:2007725	AT1G48420
F4HYF3-1	locus:2007725	AT1G48420
F4HZB2	locus:2007514	AT1G03060
F4HZD1-2	locus:2036014	AT1G09060
F4HZD1-2	locus:2036014	AT1G09060
F4HZD1-1	locus:2036014	AT1G09060
F4HZD1-1	locus:2036014	AT1G09060
F4HZG9-1	locus:2203038	AT1G09300
F4HZG9-2	locus:2203038	AT1G09300
F4I096-1	locus:1005716738	AT1G55325
F4I096-2	locus:1005716738	AT1G55325
F4I0K2	locus:2026465	AT1G69200
F4I171	locus:2036154	AT1G15780
F4I1S7-1	locus:2010272	AT1G49540
F4I1T7-2	locus:2193849	AT1G55540
F4I1T7-1	locus:2193849	AT1G55540
F4I240	locus:2031290	AT1G63490
F4I2H7-3	locus:2024132	AT1G03780
F4I2H7-2	locus:2024132	AT1G03780
F4I2H7-1	locus:2024132	AT1G03780
F4I2J8-2	locus:2024182	AT1G03910
F4I2J8-1	locus:2024182	AT1G03910
F4I2N7-2	locus:2024432	AT1G09970
F4I2N7-1	locus:2024432	AT1G09970
F4I313	locus:2017784	AT1G22870
F4I316	locus:504956296	AT1G22882
F4I3P9	locus:2026699	AT1G63680
F4I3P9	locus:2026699	AT1G63680
F4I3P9	locus:2026699	AT1G63680
F4I3V6-1	locus:505006215	AT1G69935
F4I460	locus:2020270	AT1G04160
F4I4F2	locus:2032785	AT1G16440
F4I4K5	locus:2017699	AT1G23010
F4I562	locus:2027564	AT1G56590
F4I5N6	locus:2018369	AT1G04450
F4I5V8	locus:2019943	AT1G10670
F4I6G4	locus:2196979	AT1G30810
F4I6G4	locus:2196979	AT1G30810
F4I6G4	locus:2196979	AT1G30810
F4I6M1	locus:2036361	AT1G50840
F4I718	locus:2204700	AT1G77460
F4I718	locus:2204700	AT1G77460
F4I718	locus:2204700	AT1G77460
F4I718	locus:2204700	AT1G77460
F4I735	locus:2204665	AT1G77600
F4I7C7	locus:2197399	AT1G11060
F4I7I0	locus:2195808	AT1G17290
F4I7Y4	locus:2036426	AT1G50990
F4I893-2	locus:2010891	AT1G64790
F4I893-1	locus:2010891	AT1G64790
F4I8I0-1	locus:2825334	AT1G71360
F4I902	locus:2007873	AT1G17610
F4I902	locus:2007873	AT1G17610
F4I907	locus:2007923	AT1G17650
F4I9A2	locus:2825102	AT1G24460
F4I9G2	locus:2035898	AT1G42430
F4I9J7	locus:2033888	AT1G51510
